# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
                 ·gc.churn.G1_Eden_Space.norm:     27946829.913 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 127.478 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         2.000 ms

Iteration   3: 4.598 ops/s
                 ·class.load:                  15643.617 classes/sec
                 ·class.load.norm:             31.553 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               1.711 MB/sec
                 ·gc.alloc.rate.norm:          422206.979 B/op
                 ·gc.churn.G1_Eden_Space:      55.424 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 13676108.255 B/op
                 ·gc.count:                    1.000 counts
                 ·gc.time:                     2.000 ms


# Run progress: 47.50% complete, ETA 02:25:45
# Fork: 3 of 5
# Warmup Iteration   1: 4.618 ops/s
# Warmup Iteration   2: 4.672 ops/s
# Warmup Iteration   3: 4.623 ops/s
# Warmup Iteration   4: 4.620 ops/s
# Warmup Iteration   5: 4.614 ops/s
# Warmup Iteration   6: 4.609 ops/s
# Warmup Iteration   7: 4.603 ops/s
# Warmup Iteration   8: 4.500 ops/s
# Warmup Iteration   9: 4.576 ops/s
# Warmup Iteration  10: 4.597 ops/s
Iteration   1: 4.597 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   102.265 MB/sec
                 ·gc.alloc.rate.norm:              24498427.234 B/op
                 ·gc.churn.G1_Eden_Space:          114.177 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     27352216.511 B/op
                 ·gc.churn.G1_Survivor_Space:      0.004 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 897.532 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         3.000 ms

Iteration   2: 4.583 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   101.875 MB/sec
                 ·gc.alloc.rate.norm:              24498553.565 B/op
                 ·gc.churn.G1_Eden_Space:          116.214 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     27946829.913 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻⁴ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 30.609 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         3.000 ms

Iteration   3: 4.588 ops/s
                 ·class.load:                  15490.527 classes/sec
                 ·class.load.norm:             32.239 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               1.729 MB/sec
                 ·gc.alloc.rate.norm:          431741.043 B/op
                 ·gc.churn.G1_Eden_Space:      55.948 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 13973414.957 B/op
                 ·gc.count:                    1.000 counts
                 ·gc.time:                     1.000 ms


# Run progress: 48.33% complete, ETA 02:23:27
# Fork: 4 of 5
# Warmup Iteration   1: 4.699 ops/s
# Warmup Iteration   2: 4.602 ops/s
# Warmup Iteration   3: 4.610 ops/s
# Warmup Iteration   4: 4.596 ops/s
# Warmup Iteration   5: 4.430 ops/s
# Warmup Iteration   6: 4.604 ops/s
# Warmup Iteration   7: 4.598 ops/s
# Warmup Iteration   8: 4.554 ops/s
# Warmup Iteration   9: 4.547 ops/s
# Warmup Iteration  10: 4.594 ops/s
Iteration   1: 4.598 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   102.268 MB/sec
                 ·gc.alloc.rate.norm:              24498408.170 B/op
                 ·gc.churn.G1_Eden_Space:          114.182 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     27352216.511 B/op
                 ·gc.churn.G1_Survivor_Space:      0.004 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 850.043 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         3.000 ms

Iteration   2: 4.602 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   102.388 MB/sec
                 ·gc.alloc.rate.norm:              24498336.851 B/op
                 ·gc.churn.G1_Eden_Space:          114.315 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     27352216.511 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 89.362 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         3.000 ms

Iteration   3: 4.605 ops/s
                 ·class.load:                  15666.656 classes/sec
                 ·class.load.norm:             31.553 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               1.709 MB/sec
                 ·gc.alloc.rate.norm:          422232.170 B/op
                 ·gc.churn.G1_Eden_Space:      55.348 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 13676108.255 B/op
                 ·gc.count:                    1.000 counts
                 ·gc.time:                     1.000 ms


# Run progress: 49.17% complete, ETA 02:21:09
# Fork: 5 of 5
# Warmup Iteration   1: 4.730 ops/s
# Warmup Iteration   2: 4.613 ops/s
# Warmup Iteration   3: 4.577 ops/s
# Warmup Iteration   4: 4.607 ops/s
# Warmup Iteration   5: 4.617 ops/s
# Warmup Iteration   6: 4.602 ops/s
# Warmup Iteration   7: 4.602 ops/s
# Warmup Iteration   8: 4.587 ops/s
# Warmup Iteration   9: 4.490 ops/s
# Warmup Iteration  10: 4.582 ops/s
Iteration   1: 4.576 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   101.719 MB/sec
                 ·gc.alloc.rate.norm:              24498413.739 B/op
                 ·gc.churn.G1_Eden_Space:          116.037 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     27946829.913 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 762.783 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         3.000 ms

Iteration   2: 4.581 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   101.836 MB/sec
                 ·gc.alloc.rate.norm:              24497884.696 B/op
                 ·gc.churn.G1_Eden_Space:          58.086 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     13973414.957 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻⁴ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 23.826 B/op
                 ·gc.count:                        1.000 counts
                 ·gc.time:                         1.000 ms

Iteration   3: 4.589 ops/s
                 ·class.load:                      15382.434 classes/sec
                 ·class.load.norm:                 32.239 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1.741 MB/sec
                 ·gc.alloc.rate.norm:              431971.304 B/op
                 ·gc.churn.G1_Eden_Space:          112.645 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     27946829.913 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻⁴ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 68.696 B/op
                 ·gc.count:                        2.000 counts
                 ·gc.time:                         3.000 ms



Result "trile.ConcurrencyBenchmark.disruptor":
  4.582 ±(99.9%) 0.026 ops/s [Average]
  (min, avg, max) = (4.504, 4.582, 4.605), stdev = 0.024
  CI (99.9%): [4.557, 4.608] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.load":
  5188.990 ±(99.9%) 8120.798 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5188.990, 15666.656), stdev = 7596.200
  CI (99.9%): [≈ 0, 13309.789] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.load.norm":
  10.655 ±(99.9%) 16.676 classes/op [Average]
  (min, avg, max) = (≈ 0, 10.655, 32.239), stdev = 15.598
  CI (99.9%): [≈ 0, 27.331] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.alloc.rate":
  68.540 ±(99.9%) 52.285 MB/sec [Average]
  (min, avg, max) = (1.709, 68.540, 102.388), stdev = 48.908
  CI (99.9%): [16.255, 120.826] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.alloc.rate.norm":
  16474892.644 ±(99.9%) 12556217.770 B/op [Average]
  (min, avg, max) = (422206.979, 16474892.644, 24498553.565), stdev = 11745093.893
  CI (99.9%): [3918674.874, 29031110.414] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.churn.G1_Eden_Space":
  95.308 ±(99.9%) 30.366 MB/sec [Average]
  (min, avg, max) = (55.348, 95.308, 116.325), stdev = 28.405
  CI (99.9%): [64.942, 125.674] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.churn.G1_Eden_Space.norm":
  23130461.354 ±(99.9%) 7262959.075 B/op [Average]
  (min, avg, max) = (13676108.255, 23130461.354, 27946829.913), stdev = 6793776.426
  CI (99.9%): [15867502.279, 30393420.429] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.churn.G1_Survivor_Space":
  0.001 ±(99.9%) 0.002 MB/sec [Average]
  (min, avg, max) = (≈ 0, 0.001, 0.004), stdev = 0.002
  CI (99.9%): [≈ 0, 0.003] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.churn.G1_Survivor_Space.norm":
  301.639 ±(99.9%) 405.945 B/op [Average]
  (min, avg, max) = (≈ 0, 301.639, 897.532), stdev = 379.721
  CI (99.9%): [≈ 0, 707.584] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.count":
  25.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (1.000, 1.667, 2.000), stdev = 0.488
  CI (99.9%): [25.000, 25.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.time":
  35.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (1.000, 2.333, 3.000), stdev = 0.816
  CI (99.9%): [35.000, 35.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.disruptor
# Parameters: (bufferSize = 2048, numberEvent = 100, poolSize = 8)

# Run progress: 50.00% complete, ETA 02:18:50
# Fork: 1 of 5
# Warmup Iteration   1: 1420.863 ops/s
# Warmup Iteration   2: 1317.917 ops/s
# Warmup Iteration   3: 1315.651 ops/s
# Warmup Iteration   4: 1321.636 ops/s
# Warmup Iteration   5: 1319.388 ops/s
# Warmup Iteration   6: 1313.502 ops/s
# Warmup Iteration   7: 1322.298 ops/s
# Warmup Iteration   8: 1322.050 ops/s
# Warmup Iteration   9: 1321.717 ops/s
# Warmup Iteration  10: 1321.509 ops/s
Iteration   1: 1323.745 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.713 MB/sec
                 ·gc.alloc.rate.norm: 593.726 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   2: 1320.833 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.712 MB/sec
                 ·gc.alloc.rate.norm: 593.808 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   3: 1318.615 ops/s
                 ·class.load:         15637.568 classes/sec
                 ·class.load.norm:    0.112 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.873 MB/sec
                 ·gc.alloc.rate.norm: 1645.062 B/op
                 ·gc.count:           ≈ 0 counts


# Run progress: 50.83% complete, ETA 02:16:30
# Fork: 2 of 5
# Warmup Iteration   1: 1406.629 ops/s
# Warmup Iteration   2: 1318.918 ops/s
# Warmup Iteration   3: 1319.662 ops/s
# Warmup Iteration   4: 1322.008 ops/s
# Warmup Iteration   5: 1321.718 ops/s
# Warmup Iteration   6: 1317.910 ops/s
# Warmup Iteration   7: 1318.397 ops/s
# Warmup Iteration   8: 1317.838 ops/s
# Warmup Iteration   9: 1312.745 ops/s
# Warmup Iteration  10: 1314.911 ops/s
Iteration   1: 1305.866 ops/s
                 ·class.load:                  ≈ 0 classes/sec
                 ·class.load.norm:             ≈ 0 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               0.707 MB/sec
                 ·gc.alloc.rate.norm:          596.914 B/op
                 ·gc.churn.G1_Eden_Space:      18.914 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 15965.312 B/op
                 ·gc.count:                    1.000 counts
                 ·gc.time:                     10.000 ms

Iteration   2: 1315.850 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.710 MB/sec
                 ·gc.alloc.rate.norm: 594.354 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   3: 1313.711 ops/s
                 ·class.load:         15528.951 classes/sec
                 ·class.load.norm:    0.113 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.884 MB/sec
                 ·gc.alloc.rate.norm: 1651.448 B/op
                 ·gc.count:           ≈ 0 counts


# Run progress: 51.67% complete, ETA 02:14:10
# Fork: 3 of 5
# Warmup Iteration   1: 1405.026 ops/s
# Warmup Iteration   2: 1320.349 ops/s
# Warmup Iteration   3: 1323.753 ops/s
# Warmup Iteration   4: 1320.567 ops/s
# Warmup Iteration   5: 1317.473 ops/s
# Warmup Iteration   6: 1321.576 ops/s
# Warmup Iteration   7: 1324.073 ops/s
# Warmup Iteration   8: 1325.225 ops/s
# Warmup Iteration   9: 1322.594 ops/s
# Warmup Iteration  10: 1322.743 ops/s
Iteration   1: 1317.507 ops/s
                 ·class.load:                  ≈ 0 classes/sec
                 ·class.load.norm:             ≈ 0 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               0.712 MB/sec
                 ·gc.alloc.rate.norm:          595.888 B/op
                 ·gc.churn.G1_Eden_Space:      18.935 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 15836.872 B/op
                 ·gc.count:                    1.000 counts
                 ·gc.time:                     10.000 ms

Iteration   2: 1324.268 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.713 MB/sec
                 ·gc.alloc.rate.norm: 593.625 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   3: 1323.492 ops/s
                 ·class.load:         15665.850 classes/sec
                 ·class.load.norm:    0.112 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.871 MB/sec
                 ·gc.alloc.rate.norm: 1639.777 B/op
                 ·gc.count:           ≈ 0 counts


# Run progress: 52.50% complete, ETA 02:11:50
# Fork: 4 of 5
# Warmup Iteration   1: 1405.659 ops/s
# Warmup Iteration   2: 1323.201 ops/s
# Warmup Iteration   3: 1323.095 ops/s
# Warmup Iteration   4: 1326.134 ops/s
# Warmup Iteration   5: 1321.369 ops/s
# Warmup Iteration   6: 1314.333 ops/s
# Warmup Iteration   7: 1318.583 ops/s
# Warmup Iteration   8: 1317.699 ops/s
# Warmup Iteration   9: 1315.413 ops/s
# Warmup Iteration  10: 1318.885 ops/s
Iteration   1: 1315.583 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.709 MB/sec
                 ·gc.alloc.rate.norm: 594.177 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   2: 1311.275 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.707 MB/sec
                 ·gc.alloc.rate.norm: 593.884 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   3: 1315.106 ops/s
                 ·class.load:         15617.244 classes/sec
                 ·class.load.norm:    0.113 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.875 MB/sec
                 ·gc.alloc.rate.norm: 1648.970 B/op
                 ·gc.count:           ≈ 0 counts


# Run progress: 53.33% complete, ETA 02:09:31
# Fork: 5 of 5
# Warmup Iteration   1: 1406.419 ops/s
# Warmup Iteration   2: 1324.707 ops/s
# Warmup Iteration   3: 1324.701 ops/s
# Warmup Iteration   4: 1324.216 ops/s
# Warmup Iteration   5: 1320.997 ops/s
# Warmup Iteration   6: 1315.763 ops/s
# Warmup Iteration   7: 1319.072 ops/s
# Warmup Iteration   8: 1320.251 ops/s
# Warmup Iteration   9: 1320.990 ops/s
# Warmup Iteration  10: 1321.856 ops/s
Iteration   1: 1316.713 ops/s
                 ·class.load:                  ≈ 0 classes/sec
                 ·class.load.norm:             ≈ 0 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               0.712 MB/sec
                 ·gc.alloc.rate.norm:          596.227 B/op
                 ·gc.churn.G1_Eden_Space:      18.817 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 15753.703 B/op
                 ·gc.count:                    1.000 counts
                 ·gc.time:                     10.000 ms

Iteration   2: 1315.057 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      0.709 MB/sec
                 ·gc.alloc.rate.norm: 593.954 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   3: 1316.385 ops/s
                 ·class.load:         15600.113 classes/sec
                 ·class.load.norm:    0.113 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.877 MB/sec
                 ·gc.alloc.rate.norm: 1648.529 B/op
                 ·gc.count:           ≈ 0 counts



Result "trile.ConcurrencyBenchmark.disruptor":
  1316.934 ±(99.9%) 5.243 ops/s [Average]
  (min, avg, max) = (1305.866, 1316.934, 1324.268), stdev = 4.904
  CI (99.9%): [1311.691, 1322.176] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.load":
  5203.315 ±(99.9%) 8142.953 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5203.315, 15665.850), stdev = 7616.923
  CI (99.9%): [≈ 0, 13346.268] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.load.norm":
  0.037 ±(99.9%) 0.059 classes/op [Average]
  (min, avg, max) = (≈ 0, 0.037, 0.113), stdev = 0.055
  CI (99.9%): [≈ 0, 0.096] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.disruptor:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.alloc.rate":
  1.099 ±(99.9%) 0.608 MB/sec [Average]
  (min, avg, max) = (0.707, 1.099, 1.884), stdev = 0.569
  CI (99.9%): [0.491, 1.707] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.alloc.rate.norm":
  945.356 ±(99.9%) 548.834 B/op [Average]
  (min, avg, max) = (593.625, 945.356, 1651.448), stdev = 513.380
  CI (99.9%): [396.522, 1494.190] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.churn.G1_Eden_Space":
  3.778 ±(99.9%) 8.361 MB/sec [Average]
  (min, avg, max) = (≈ 0, 3.778, 18.935), stdev = 7.821
  CI (99.9%): [≈ 0, 12.138] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.churn.G1_Eden_Space.norm":
  3170.392 ±(99.9%) 7016.736 B/op [Average]
  (min, avg, max) = (≈ 0, 3170.392, 15965.312), stdev = 6563.460
  CI (99.9%): [≈ 0, 10187.129] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.count":
  3.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (≈ 0, 0.200, 1.000), stdev = 0.414
  CI (99.9%): [3.000, 3.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.disruptor:·gc.time":
  30.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (≈ 0, 2.000, 10.000), stdev = 4.140
  CI (99.9%): [30.000, 30.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.disruptor
# Parameters: (bufferSize = 2048, numberEvent = 100, poolSize = 64)

# Run progress: 54.17% complete, ETA 02:07:11
# Fork: 1 of 5
# Warmup Iteration   1: 6255.367 ops/s
# Warmup Iteration   2: 6201.878 ops/s
# Warmup Iteration   3: 6193.967 ops/s
# Warmup Iteration   4: 6193.236 ops/s
# Warmup Iteration   5: 6182.086 ops/s
# Warmup Iteration   6: 6167.511 ops/s
# Warmup Iteration   7: 6170.638 ops/s
# Warmup Iteration   8: 6191.434 ops/s
# Warmup Iteration   9: 6179.676 ops/s
# Warmup Iteration  10: 6168.488 ops/s
Iteration   1: 6185.397 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.355 MB/sec
                 ·gc.alloc.rate.norm: 241.409 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   2: 6173.665 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.353 MB/sec
                 ·gc.alloc.rate.norm: 241.531 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   3: 6167.662 ops/s
                 ·class.load:         15679.903 classes/sec
                 ·class.load.norm:    0.024 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      2.469 MB/sec
                 ·gc.alloc.rate.norm: 465.153 B/op
                 ·gc.count:           ≈ 0 counts


# Run progress: 55.00% complete, ETA 02:04:51
# Fork: 2 of 5
# Warmup Iteration   1: 6229.310 ops/s
# Warmup Iteration   2: 6181.635 ops/s
# Warmup Iteration   3: 6157.551 ops/s
# Warmup Iteration   4: 6204.535 ops/s
# Warmup Iteration   5: 6193.825 ops/s
# Warmup Iteration   6: 6190.816 ops/s
# Warmup Iteration   7: 6198.981 ops/s
# Warmup Iteration   8: 6169.524 ops/s
# Warmup Iteration   9: 6193.907 ops/s
# Warmup Iteration  10: 6186.891 ops/s
Iteration   1: 6185.807 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
                 ·gc.alloc.rate:      1.356 MB/sec
                 ·gc.alloc.rate.norm: 241.665 B/op
                 ·gc.count:           ≈ 0 counts

Iteration   2: 6195.536 ops/s
                 ·class.load:         ≈ 0 classes/sec
                 ·class.load.norm:    ≈ 0 classes/op
                 ·class.unload:       ≈ 0 classes/sec
                 ·class.unload.norm:  ≈ 0 classes/op
